id,poblacion,densidad,juzg.unico,v008,v016,v028,v029,v066,v112,v113,v114,v115,v118,v119,v120,v121,v122,v123,v135,v136,v137,v138,v139,v140,v141,v142,v143,v144,v145,v146,v147,v148,v149,v150,v151,v152,v153,v154,v191,v192,v193,v194,v195,v197,v198,v199,v202,v203,v204,v214,years.judge
II001,9586,6.94,1,1,2,2,6,1,4,4,5,5,4,2,7,2,2,10,1,1,1,5,6,1,5,6,1,1,4,1,1,1,1,1,1,1,1,1,1,1,2,2,4,2,2,0,6,11,2,4,9
II002,47166,21.69,0,1,2,2,6,1,3,3,4,3,3,2,7,3,3,3,1,1,1,1,6,1,4,6,1,1,5,1,1,1,1,1,5,1,1,1,1,1,2,2,4,2,2,0,3,10,13,4,6
II003,13834,6.96,1,1,2,2,6,2,3,4,4,3,7,2,7,6,7,6,1,4,1,1,5,1,1,5,1,1,4,1,1,3,4,1,1,1,1,1,2,2,2,1,1,1,1,3,9,6,10,5,10
II004,57695,20.25,0,1,2,2,6,1,4,3,5,4,4,2,7,2,3,7,1,1,1,1,4,1,4,6,1,1,3,4,1,5,1,1,1,1,1,1,1,1,2,2,5,2,2,0,6,11,13,4,3
II005,28260,21.71,1,1,2,1,1,2,4,4,4,4,4,1,4,3,3,2,1,1,1,3,6,1,1,6,4,1,5,1,1,5,5,4,5,6,1,1,1,1,3,2,4,1,1,0,10,11,2,3,11
II006,54448,29.42,0,1,2,1,3,1,4,4,4,4,3,1,3,3,1,2,1,1,1,1,5,1,4,6,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,2,1,0,2,7,3,4,7
II007,40454,63.1,0,1,2,2,6,2,1,5,3,3,3,1,3,1,2,3,1,1,1,6,6,1,6,6,1,1,5,4,1,4,1,1,1,5,1,1,1,1,3,2,5,2,2,0,3,11,3,1,5
II008,32583,91.58,0,1,2,2,6,2,3,4,5,5,3,1,1,3,11,2,1,1,1,2,5,1,2,1,1,1,5,1,1,5,1,1,1,1,1,1,1,1,3,2,5,2,2,0,7,7,13,4,5
II009,55876,46.67,0,1,2,2,6,2,3,5,5,5,2,2,7,2,2,4,1,1,1,6,6,1,6,6,1,1,5,5,1,5,6,6,1,5,1,1,1,2,1,2,3,1,2,0,12,11,13,5,7
II010,55876,46.67,0,1,2,2,6,1,3,5,5,5,5,1,1,1,2,1,1,3,1,5,5,1,5,6,1,1,4,5,1,6,5,1,1,4,1,1,1,1,2,2,5,1,4,0,12,11,1,4,3
II011,35612,23.29,0,1,2,2,6,2,3,4,5,5,4,1,1,7,3,3,1,5,1,1,6,1,6,6,1,1,5,5,1,5,4,5,5,5,1,1,1,1,3,2,3,2,1,0,7,3,3,4,4
II012,67067,92.69,0,1,2,1,1,2,4,5,4,5,5,1,5,4,2,1,1,6,1,5,6,1,5,6,4,1,5,1,1,5,3,5,5,1,1,1,1,2,1,2,2,1,1,1,3,10,2,3,4
II013,55057,72.37,0,1,2,2,6,2,4,4,3,4,4,1,4,1,2,11,1,5,1,1,5,1,5,5,1,1,4,5,1,1,7,7,1,5,1,1,1,1,3,2,4,2,2,0,10,11,13,5,2
II014,46966,25.91,0,1,2,1,1,3,5,5,5,5,7,2,7,4,1,9,1,4,1,5,6,1,6,6,1,1,6,6,1,4,6,6,1,6,5,1,2,1,3,1,1,1,1,2,9,11,10,5,8
II015,43389,19.68,0,1,2,2,6,1,4,4,5,5,1,2,7,11,10,2,1,1,1,1,4,1,4,5,1,1,4,1,1,5,1,4,1,1,1,1,2,2,1,1,2,2,1,1,1,3,3,3,8
II016,65906,80.62,0,1,2,1,2,2,4,4,5,5,2,1,2,3,2,3,1,5,1,6,6,1,4,6,1,1,5,1,1,5,1,2,1,1,1,1,1,1,2,1,4,1,2,0,7,11,13,4,2
II017,60744,17.5,0,1,2,2,6,1,5,5,5,5,4,1,4,2,2,7,1,5,1,1,6,1,6,4,1,1,5,5,1,5,1,1,1,1,1,1,1,1,3,2,4,2,2,0,10,11,13,4,5
II018,17135,13.77,1,2,2,1,4,2,5,4,5,4,3,1,3,2,3,2,1,1,1,1,6,1,5,6,5,1,4,1,1,5,5,5,1,4,1,1,1,1,4,2,4,1,1,1,2,11,3,4,10
II019,19793,24.61,1,1,2,2,6,1,4,4,5,5,4,1,2,2,3,3,1,1,4,5,6,1,1,6,5,1,5,5,1,5,1,1,1,5,1,1,1,1,2,1,4,2,1,1,13,3,13,4,6
II020,22737,18.57,0,2,1,1,2,2,4,4,5,5,7,1,3,5,7,8,1,1,1,5,6,1,6,6,1,1,5,1,1,4,5,6,1,5,1,1,1,2,2,2,3,1,1,2,8,11,2,3,25
II021,44737,542.53,0,2,2,2,6,1,4,4,4,5,1,2,7,2,7,9,1,5,1,4,4,1,4,4,1,1,4,1,1,5,5,1,1,1,1,1,1,1,4,2,5,1,2,0,2,11,1,5,5
II022,35105,62.19,0,1,2,1,2,1,4,4,4,4,1,1,1,3,11,11,1,1,1,5,6,1,5,5,1,1,5,1,1,4,1,1,1,1,1,1,1,1,2,2,4,1,3,1,3,3,1,4,8
II023,20093,28.16,1,1,2,1,1,3,5,4,5,5,1,1,1,1,1,1,6,5,1,5,6,1,5,6,5,1,4,1,1,1,5,1,1,5,1,1,1,2,2,2,3,1,2,0,4,9,10,5,5
II025,60747,220.66,0,1,2,1,4,2,5,4,5,5,3,1,1,12,12,9,1,5,1,5,5,1,4,5,3,1,4,1,1,3,5,1,1,1,1,1,1,1,3,2,1,1,2,0,2,11,1,4,4
II026,19219,49.64,1,1,2,1,4,2,5,4,4,3,5,1,2,3,3,3,1,1,1,1,6,1,5,5,1,1,5,1,1,1,1,1,1,5,1,1,1,1,4,2,4,2,1,0,10,10,3,2,3
II027,79540,69.62,0,1,2,2,6,1,4,3,5,5,5,1,1,2,3,11,1,5,5,5,6,1,4,6,1,1,4,6,1,4,6,5,1,1,1,1,1,1,3,2,4,2,2,0,7,11,13,5,35
II028,79540,69.62,0,2,1,2,6,2,5,4,5,4,5,1,3,2,7,2,6,1,6,1,1,1,5,6,5,1,2,4,1,5,5,5,1,6,1,1,1,1,4,3,5,2,2,0,4,11,2,4,20
II029,37537,104.06,0,1,2,2,6,1,5,4,4,4,5,1,1,1,2,10,1,1,1,1,4,1,5,5,1,1,4,1,1,5,5,5,1,1,1,1,1,1,3,1,3,1,4,0,9,11,2,4,6
II030,51481,467.88,0,1,2,1,2,1,3,5,5,5,4,1,3,1,10,7,6,1,1,1,6,1,3,6,4,1,6,3,1,5,5,4,1,1,1,1,1,1,3,1,4,1,1,1,6,6,2,5,6
II031,51481,467.88,0,1,2,2,6,2,5,4,5,5,4,1,1,1,1,11,1,5,1,1,5,1,5,6,4,1,4,1,1,1,4,1,1,1,1,1,1,1,4,2,5,2,2,0,12,11,1,4,5
II032,8087,8.13,1,1,2,2,6,1,4,4,4,4,5,1,4,1,6,10,1,1,1,5,6,1,1,5,1,1,4,1,1,5,5,4,1,1,1,1,1,1,3,1,3,1,2,0,6,11,13,4,5
II033,38212,565.94,0,1,2,2,6,1,4,5,4,5,5,2,7,1,11,11,6,5,1,5,5,1,5,6,1,1,5,5,1,4,4,1,1,1,1,1,1,1,4,2,4,2,2,0,12,12,13,3,4
II034,38212,565.94,0,1,2,2,6,2,5,4,5,4,5,1,1,11,11,11,1,5,1,3,5,1,5,6,6,1,6,6,1,5,5,5,1,5,1,1,1,1,3,3,5,2,2,0,12,12,13,4,5
II035,28882,58.72,1,2,2,2,6,2,4,4,5,5,1,1,1,6,7,3,1,5,1,6,6,1,5,5,1,1,6,5,1,5,5,1,5,1,1,1,1,1,3,2,4,1,1,0,2,11,12,2,8
II036,56531,300.82,0,1,2,2,6,2,4,4,5,5,4,1,1,1,10,10,1,4,1,6,6,1,5,6,5,1,5,4,1,5,5,4,5,5,1,1,1,2,2,2,1,2,2,0,10,7,13,5,6
II037,56531,300.82,0,1,2,2,6,2,5,4,5,4,4,1,2,6,11,6,1,2,1,5,4,5,5,6,3,1,3,1,1,3,2,2,6,4,1,1,1,1,1,2,4,2,2,0,12,11,12,3,8
II038,23739,30.24,1,1,2,2,6,2,4,4,5,5,2,1,3,2,3,1,1,1,1,5,6,5,6,5,1,1,3,1,1,5,4,1,1,1,1,1,1,1,3,2,2,2,1,0,12,11,2,4,7
II039,51116,158.32,0,2,2,2,6,2,5,4,5,5,1,1,1,1,1,11,1,5,1,1,5,1,4,6,1,1,4,5,1,5,5,4,1,1,1,1,1,1,2,3,3,2,1,1,6,11,4,3,2
II040,32359,25.38,0,1,2,2,6,2,5,4,5,5,4,1,1,2,5,7,1,1,1,1,5,1,5,6,1,1,5,1,1,6,1,1,1,1,1,1,1,1,3,2,4,2,1,0,1,11,2,5,8
II041,32359,25.38,0,2,1,1,5,2,5,4,5,4,4,1,1,2,2,11,1,1,1,6,6,1,5,5,1,1,1,5,1,1,1,5,1,1,1,1,1,1,4,2,4,1,2,0,5,11,13,5,6
II042,46781,77.66,0,1,2,1,4,2,5,5,5,5,4,2,7,2,10,10,1,6,1,5,6,1,5,6,1,1,5,1,1,1,6,1,6,5,1,1,1,1,3,2,4,2,2,0,5,11,12,4,6
II043,10451,7.7,1,1,2,2,6,2,5,5,5,5,4,1,2,2,2,7,1,4,1,6,6,1,6,6,5,1,5,1,1,5,5,6,1,5,1,1,1,1,3,2,2,2,1,0,10,11,3,5,9
II044,51735,26.29,0,1,2,1,1,2,5,7,3,5,4,1,3,2,3,3,1,3,1,4,6,1,4,6,1,1,4,1,1,2,1,1,1,1,1,1,1,1,2,2,2,2,2,0,7,11,3,5,3
II045,34803,24.12,0,1,2,2,6,2,5,4,5,5,4,2,7,7,5,1,1,1,5,1,4,1,4,6,1,1,5,1,1,5,5,1,1,1,1,1,1,1,3,2,2,1,1,1,10,11,10,5,7
II046,20539,9.2,1,1,2,1,4,1,4,4,5,5,4,1,4,2,3,7,4,4,1,1,5,1,5,5,5,1,5,5,1,5,5,5,1,5,1,5,1,1,2,2,2,2,1,2,8,11,7,4,NA
II047,17878,10.49,1,2,1,1,3,2,3,4,5,4,4,2,7,2,5,11,5,1,1,1,6,1,4,6,4,1,4,5,1,3,4,4,1,1,1,1,1,1,3,2,5,2,2,0,7,7,13,4,13
II048,29767,10.45,0,1,2,1,1,1,3,5,5,5,1,1,1,7,7,9,1,3,1,4,6,1,4,6,1,1,1,5,1,5,5,1,1,1,1,5,1,1,2,1,1,1,1,0,6,6,2,5,3
II049,20865,20.22,0,1,2,1,3,1,4,4,5,4,3,1,3,6,10,1,4,5,1,1,5,1,4,5,5,1,4,1,1,4,1,1,1,1,1,1,1,2,2,2,3,1,2,0,7,10,13,3,6
II050,35303,30.39,0,1,2,1,3,1,3,5,5,4,1,2,7,3,5,1,1,6,1,1,6,1,5,6,1,1,1,1,1,5,1,1,5,5,1,1,1,1,3,2,1,1,1,1,7,11,2,2,7
II051,12688,11.08,1,1,2,2,6,2,5,4,4,5,4,2,7,2,2,1,1,4,1,1,5,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,2,2,2,0,3,11,1,4,6
II052,66635,72.08,0,1,2,2,6,2,5,4,5,4,2,2,7,10,2,1,5,5,5,1,6,1,5,6,1,1,5,6,1,4,5,1,5,6,5,1,1,1,4,2,5,2,1,0,3,7,10,4,8
II053,42416,24.5,0,1,2,2,6,1,5,5,5,5,3,1,2,1,3,2,1,4,1,6,6,1,6,5,1,1,4,4,1,1,4,4,1,1,1,1,1,1,2,1,2,1,1,2,1,11,11,4,5
II054,49199,23.09,0,1,2,2,6,1,5,5,5,5,5,1,3,2,1,3,1,5,1,1,6,1,1,6,1,1,5,5,1,5,5,1,6,5,1,1,1,1,3,2,4,2,1,0,3,3,3,3,5
II055,29658,67.59,1,1,2,2,6,2,4,4,4,3,3,1,2,3,3,1,1,5,1,1,6,1,2,6,5,1,4,6,1,5,3,3,6,1,1,1,1,1,3,2,2,2,1,2,4,11,2,5,7
II056,102637,193.73,0,1,2,1,3,2,5,4,5,5,4,1,5,3,3,3,1,5,1,5,5,1,5,6,5,1,4,6,1,6,1,1,1,1,1,1,1,1,3,2,5,2,1,0,7,11,2,4,6
II057,26020,22.09,0,1,1,2,6,1,3,4,7,4,5,2,7,3,3,3,1,6,1,1,6,1,6,6,1,1,6,6,1,5,1,1,1,1,1,1,1,2,1,1,4,1,2,0,3,3,13,4,4
II058,26020,22.09,0,1,2,1,1,1,2,4,4,5,5,2,7,2,2,2,1,1,1,1,5,5,5,5,4,1,5,5,1,2,1,1,1,5,1,1,1,1,1,2,3,1,1,1,3,11,1,4,4
II059,85497,49.74,0,2,1,2,6,2,4,4,5,5,1,1,5,2,2,1,1,6,1,5,5,1,5,5,1,1,1,5,1,1,1,1,1,5,1,1,1,1,4,2,5,1,1,3,2,11,7,5,18
II060,46832,52.23,0,1,2,2,6,1,5,4,5,4,4,2,7,2,11,11,1,1,1,5,5,1,1,6,1,1,5,5,1,5,1,1,1,1,1,1,2,1,1,2,1,2,1,2,9,11,3,5,8
II061,41010,14.56,0,1,2,2,7,1,4,4,5,4,4,1,1,1,3,10,1,1,1,1,5,1,1,5,1,1,1,5,1,1,1,1,1,1,1,1,1,1,3,1,4,2,2,0,3,3,13,5,7
II062,60701,67.67,0,2,1,2,6,3,4,3,3,4,3,1,1,3,3,3,1,1,1,5,5,1,1,6,1,1,5,5,1,5,1,1,1,1,1,1,1,1,2,2,3,1,2,0,1,3,13,5,5
II063,107741,213.82,0,1,2,2,6,2,5,5,5,5,7,2,7,7,11,3,1,1,1,1,1,6,1,5,5,1,1,1,1,1,1,1,1,1,7,7,1,1,3,2,5,1,1,0,7,11,3,6,10
II064,107741,213.82,0,1,2,2,6,1,3,5,5,5,4,1,3,1,2,3,5,1,1,5,5,5,5,5,1,1,5,5,5,5,1,5,1,1,1,1,1,1,2,2,3,1,1,0,3,2,2,6,6
II065,133366,485.99,0,1,2,2,6,2,3,2,4,5,2,1,2,2,7,2,1,1,1,3,3,1,3,6,1,1,1,6,1,4,1,1,1,1,1,1,1,1,3,2,3,2,2,0,3,11,2,3,7
II066,91933,89.64,0,2,2,1,1,2,3,4,4,4,4,1,3,1,1,1,1,1,1,1,5,1,4,6,2,1,4,6,1,5,1,1,1,1,1,1,1,1,3,2,5,2,1,2,10,11,10,4,11
II067,76916,67.51,0,1,2,2,6,2,5,4,4,4,3,2,7,3,3,1,1,1,1,1,5,1,4,6,1,1,1,5,1,5,1,1,1,1,1,1,1,1,3,2,3,2,1,0,3,10,3,3,4
II068,61791,26.88,0,2,2,2,6,1,3,4,5,4,2,1,2,2,3,3,1,1,1,1,5,1,5,4,1,1,5,6,1,1,5,1,1,1,1,1,1,1,1,2,2,2,1,2,2,11,7,3,8
II069,25926,26.76,1,1,2,2,6,2,4,4,5,4,3,1,2,2,11,1,1,5,1,5,6,1,6,6,1,1,5,5,1,5,1,1,1,1,1,1,1,1,2,2,2,2,1,0,7,11,7,4,7
II070,34813,57.48,0,1,2,2,6,2,3,3,4,4,4,1,4,1,2,11,1,5,1,5,5,1,5,6,1,1,5,5,1,3,1,1,1,5,1,1,1,1,3,2,2,2,1,0,3,3,2,3,3
II071,37128,45.84,0,1,2,1,1,2,2,3,5,4,4,1,4,1,2,2,1,1,1,1,5,1,5,6,1,1,6,5,1,3,6,6,1,5,1,1,1,1,3,2,5,2,3,0,2,3,13,5,6
II072,133366,485.99,0,1,2,1,1,1,5,5,5,5,2,1,2,2,10,12,1,1,1,5,5,1,5,6,1,1,1,5,1,5,1,1,1,1,1,1,1,1,6,2,4,1,2,0,5,10,13,4,3
II073,153143,399.45,0,1,2,1,5,1,3,4,5,5,2,1,3,1,12,12,1,5,6,5,6,1,2,6,1,6,5,6,1,5,1,1,1,1,1,1,1,2,2,2,3,2,1,0,7,7,7,4,6
II074,68440,155.72,0,1,1,1,3,1,5,4,5,5,1,1,5,2,1,3,1,1,1,5,5,1,5,5,1,1,1,5,1,5,1,1,1,1,1,1,1,1,3,2,4,2,1,0,3,3,4,4,2
II075,68440,155.72,0,2,2,1,4,1,4,4,4,5,5,1,5,1,12,12,1,1,1,1,6,5,5,5,1,1,1,6,1,5,5,4,1,1,1,1,1,1,3,2,4,2,1,0,10,3,12,3,8
II076,52639,227.39,0,2,1,2,6,2,5,5,5,5,4,1,4,1,2,11,6,6,1,1,6,1,6,6,1,1,6,6,1,6,5,5,1,5,1,1,2,2,2,3,4,2,1,0,12,11,7,5,18
II077,61158,200.44,0,1,2,2,6,2,5,5,7,5,4,1,6,1,2,10,1,1,3,1,5,1,5,5,1,1,4,5,1,5,1,1,1,1,1,1,1,1,1,2,4,2,1,1,10,11,2,5,5
II078,64869,243.33,0,1,2,2,6,1,5,4,5,5,4,1,3,12,12,12,1,1,1,1,6,3,3,4,1,1,5,1,1,5,4,5,7,5,7,7,1,1,1,2,3,2,1,0,3,3,3,5,4
II079,61158,200.44,0,1,2,1,3,2,5,4,5,5,4,1,4,3,3,1,6,5,1,1,6,1,6,6,1,1,4,6,1,4,5,4,3,3,1,1,1,1,2,2,4,2,2,0,10,3,13,4,7
II080,64869,243.33,0,1,1,2,6,1,5,3,5,5,4,1,3,1,3,12,1,1,1,1,6,1,4,6,1,1,1,5,5,1,4,1,1,1,1,1,1,1,3,3,4,1,2,0,12,12,13,6,5
II081,78089,154.46,0,2,2,2,6,2,4,4,4,4,3,2,7,12,12,12,1,1,1,5,5,1,5,5,1,1,1,5,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,0,13,13,13,3,4
II082,78089,154.46,0,1,2,2,6,2,5,4,5,5,2,1,5,2,2,2,1,1,1,5,5,5,5,5,1,1,5,5,1,1,1,1,1,1,1,1,2,2,2,2,4,2,2,0,5,11,13,5,2
II083,92295,38.64,0,1,2,1,2,1,5,5,1,5,7,1,2,2,2,2,1,6,1,1,5,1,1,5,2,1,3,3,1,1,1,1,1,1,1,1,1,1,4,1,5,2,1,0,6,6,1,2,3
II084,82309,508.61,0,1,1,1,1,1,5,5,5,5,5,1,5,1,3,3,2,4,5,6,6,1,5,6,1,1,4,6,1,5,6,4,6,6,6,1,1,1,3,2,5,2,1,0,3,11,3,5,6
II085,86601,848.11,0,1,2,2,6,1,5,3,5,5,2,1,5,3,2,6,1,2,1,5,6,1,4,4,1,1,6,6,1,4,1,1,1,1,1,1,1,1,3,2,5,2,2,0,9,10,13,2,6
II086,86601,848.11,0,1,2,2,6,2,1,3,4,5,3,2,5,3,2,2,5,4,1,5,6,1,5,5,1,1,6,6,1,4,4,4,1,6,1,1,1,1,4,1,5,1,2,0,1,3,1,4,8
II087,82309,508.61,0,1,2,2,6,1,5,3,5,3,5,1,5,3,3,3,6,1,1,1,6,1,6,4,1,1,1,4,1,1,3,1,1,1,1,1,1,1,5,2,5,2,2,0,6,6,13,5,3
II088,166356,65.91,0,1,1,2,6,1,5,3,5,4,4,1,1,1,7,11,1,5,1,1,4,1,3,6,1,1,3,5,1,4,6,4,1,1,1,1,1,1,5,2,4,2,2,0,6,11,13,4,9
II089,90250,332.77,0,1,2,1,1,1,5,5,5,5,5,1,2,11,10,2,1,5,1,5,5,5,5,6,4,1,5,4,1,5,4,1,1,1,1,1,1,1,3,2,4,2,1,1,3,11,3,5,6
II090,39385,43.99,0,1,2,2,6,1,5,5,5,5,5,1,3,3,3,1,5,1,1,1,6,1,5,6,5,1,5,1,1,5,5,5,1,1,1,1,1,2,2,2,3,1,1,1,2,3,3,5,3
II091,97554,105.11,0,1,2,2,6,1,4,4,5,4,3,2,7,1,1,1,1,1,1,1,5,1,5,5,1,1,4,1,1,5,1,1,1,1,1,1,1,1,3,2,5,2,1,0,9,10,3,4,3
II092,91977,81.25,0,2,1,1,2,1,5,3,5,4,2,2,7,3,3,1,1,1,1,4,4,1,4,5,5,1,1,1,1,5,1,1,1,1,1,1,1,1,2,2,3,2,1,2,13,13,13,3,6
II093,89336,595.61,0,1,1,1,1,2,4,4,5,5,2,2,7,11,1,1,1,1,1,7,1,7,1,5,1,1,1,1,1,4,1,1,1,1,1,1,1,1,2,2,3,2,1,1,2,11,2,6,9
II094,93035,128.82,0,1,2,2,6,2,5,3,3,4,5,1,3,10,2,1,1,1,1,4,6,1,3,6,1,1,5,1,1,1,1,1,5,1,1,1,1,2,2,2,4,2,2,0,9,11,3,3,6
II095,97920,261.84,0,1,2,1,1,1,5,4,5,5,7,1,1,2,2,2,1,5,1,4,5,1,4,6,1,1,5,5,1,5,4,1,7,7,7,7,2,2,2,2,4,1,2,0,12,10,13,3,8
II096,97920,261.84,0,1,2,1,1,2,5,4,5,5,3,2,7,3,3,10,1,1,1,1,6,1,5,6,1,1,5,6,1,1,1,1,1,1,1,1,1,1,4,2,5,1,1,1,2,11,12,2,7
II097,69319,156.05,0,1,2,2,6,3,4,3,5,5,3,1,1,3,3,3,1,1,1,1,5,1,4,6,5,1,5,5,1,5,1,3,1,1,1,1,2,2,2,2,4,1,2,0,10,11,13,4,4
II098,32960,27.22,1,1,2,2,6,2,3,3,4,5,3,1,3,3,3,11,1,1,1,3,5,1,5,6,1,1,4,5,1,4,4,1,1,5,1,1,1,1,2,1,5,1,1,0,10,11,1,5,4
II099,87272,45.49,0,2,1,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,12
II100,74461,40.71,0,1,2,2,6,1,4,3,4,5,4,1,3,2,2,2,1,1,1,1,5,1,2,4,1,1,1,5,1,4,2,3,1,1,1,1,1,1,2,2,5,1,2,0,10,10,13,5,3
II101,89988,59,0,1,2,2,6,1,3,3,4,4,3,1,2,12,10,1,1,1,1,1,4,1,3,6,1,1,4,5,1,4,5,5,1,1,1,1,1,1,2,1,4,2,2,0,10,10,12,3,3
II102,60740,105.08,0,1,2,2,6,1,4,4,5,4,4,2,7,3,1,2,1,1,1,5,6,1,5,6,1,1,5,1,1,5,1,1,1,1,1,1,1,1,2,1,3,2,1,0,3,10,3,5,3
II103,86050,92.77,0,1,2,2,6,1,4,3,4,4,3,1,3,10,2,2,1,1,1,6,6,3,1,5,1,1,1,4,1,1,1,1,1,1,1,1,1,1,2,2,5,2,1,0,10,11,5,4,4
II104,86050,92.77,0,1,2,2,6,2,5,3,5,4,7,1,2,7,10,10,1,1,1,6,6,3,6,4,1,1,5,6,1,4,1,2,1,1,1,1,1,2,2,2,4,2,2,0,9,11,3,4,5
II105,153401,128.56,0,1,2,2,6,1,4,3,5,5,1,1,1,3,3,3,1,1,1,5,5,5,5,5,1,1,1,5,1,1,1,1,1,1,1,1,1,1,3,2,5,1,2,0,10,6,3,2,7
II106,153401,128.56,0,1,2,1,7,1,4,3,5,5,2,1,4,3,7,10,1,4,1,1,5,4,4,5,1,1,5,5,1,3,1,1,1,1,1,1,1,1,3,2,5,2,1,0,1,3,11,5,4
II107,110199,129.56,0,1,1,2,6,1,4,4,3,3,5,2,7,10,10,1,1,1,1,5,5,5,5,5,1,1,1,5,1,5,1,5,1,1,1,1,1,2,2,2,3,2,1,0,9,6,3,4,7
II108,110199,129.56,0,1,1,2,6,1,3,1,5,5,3,1,4,10,10,1,6,2,1,1,4,4,1,4,5,1,5,5,1,3,1,2,1,1,1,1,1,1,4,2,5,2,1,0,3,2,3,3,4
II109,103447,189.52,0,2,1,2,6,1,4,4,4,4,NA,NA,NA,3,2,2,1,1,1,4,1,5,5,6,1,1,5,6,1,5,1,1,1,1,1,1,1,1,2,1,4,2,2,0,10,11,13,3,NA
II110,86033,821.79,0,2,1,2,6,1,4,4,5,4,4,1,5,2,1,1,6,5,1,6,6,6,5,5,1,1,4,3,1,5,1,4,1,1,1,1,1,1,3,2,5,2,2,0,3,12,13,5,7
II111,10192,16.1,1,1,2,1,1,3,5,4,4,4,4,2,7,3,1,1,1,5,5,1,6,6,6,5,1,1,1,5,1,1,5,6,1,1,1,1,1,1,2,2,3,1,2,0,3,3,13,5,6
II112,65940,33.85,0,1,2,2,6,1,5,4,5,5,4,2,7,1,5,2,1,1,1,1,1,6,1,5,1,1,4,5,1,5,1,5,1,1,1,1,1,1,4,2,5,2,1,0,5,5,3,5,2
II113,21934,13.28,1,1,1,2,6,2,4,4,5,4,1,2,7,3,10,3,1,1,1,5,6,6,6,6,1,1,5,6,1,5,6,5,1,1,1,5,1,1,2,2,3,1,1,1,10,3,3,5,7
II114,72261,98.03,0,1,2,2,6,1,3,3,5,4,3,1,1,7,2,1,1,4,1,5,1,5,1,6,3,1,5,4,1,6,1,1,1,1,1,1,1,1,3,2,5,2,4,0,10,7,7,3,5
II115,66952,60.73,0,2,1,1,2,2,3,4,5,5,4,1,4,7,7,10,5,5,1,5,5,5,5,6,1,1,4,2,1,5,5,6,1,6,1,1,1,1,3,2,4,1,1,0,10,9,12,1,5
II116,22645,20.91,1,1,1,2,6,1,4,4,5,5,5,1,4,10,7,6,1,1,1,1,6,4,6,6,2,1,4,5,1,6,4,6,1,1,1,1,1,1,2,2,5,2,2,0,6,6,13,1,5
II117,86033,821.79,0,2,2,2,6,1,5,3,5,5,3,1,1,7,10,12,1,1,1,1,1,5,4,5,1,1,1,4,1,5,1,1,1,1,1,6,1,1,2,2,5,2,2,0,6,6,13,4,6
II118,14941,59.62,1,1,2,2,6,1,5,4,5,4,2,1,2,3,2,1,1,1,1,6,6,6,1,6,1,1,4,5,1,6,5,1,1,1,1,1,1,1,2,2,4,2,1,0,3,3,2,5,7
